hospital,state,address,rating
PROVIDENCE ALASKA MEDICAL CENTER,AK,"BOX 196604, ANCHORAGE, AK 99519",13.4
CRESTWOOD MEDICAL CENTER,AL,"ONE HOSPITAL DR SE, HUNTSVILLE, AL 35801",13.3
ARKANSAS HEART HOSPITAL,AR,"1701 S SHACKLEFORD ROAD, LITTLE ROCK, AR 72211",11.9
MAYO CLINIC HOSPITAL,AZ,"5777 EAST MAYO BOULEVARD, PHOENIX, AZ 85054",12
GLENDALE ADVENTIST MEDICAL CENTER,CA,"1509 E WILSON TERRACE, GLENDALE, CA 91206",10.5
ST MARYS HOSPITAL AND MEDICAL CENTER,CO,"2635 N 7TH STREET, GRAND JUNCTION, CO 81502",12.4
WATERBURY HOSPITAL,CT,"64 ROBBINS ST, WATERBURY, CT 6721",10.6
PROVIDENCE HOSPITAL,DC,"6801 AIRPORT BOULEVARD, MOBILE, AL 36608",15.2
BAYHEALTH - KENT GENERAL HOSPITAL,DE,"640 S STATE STREET, DOVER, DE 19901",12.9
MOUNT SINAI MEDICAL CENTER,FL,"4300 ALTON RD, MIAMI BEACH, FL 33140",12.2
STEPHENS COUNTY HOSPITAL,GA,"163 HOSPITAL DRIVE, TOCCOA, GA 30577",12.9
GUAM MEMORIAL HOSPITAL AUTHORITY,GU,"85O GOV CARLOS G CAMACHO ROAD, TAMUNING, GU 96913",15.7
HILO MEDICAL CENTER,HI,"1190 WAIANUENUE AVENUE, HILO, HI 96720",13.3
MARY GREELEY MEDICAL CENTER,IA,"1111 DUFF AVENUE, AMES, IA 50010",12.5
PORTNEUF MEDICAL CENTER,ID,"777 HOSPITAL WAY, POCATELLO, ID 83201",12.3
SAINT JOSEPH HOSPITAL,IL,"2900 NORTH LAKE SHORE DRIVE, CHICAGO, IL 60657",11
ST VINCENT HEART CENTER OF INDIANA LLC,IN,"10580 N MERIDIAN ST, INDIANAPOLIS, IN 46290",11.5
KANSAS HEART HOSPITAL,KS,"3601 NORTH WEBB ROAD, WICHITA, KS 67226",13.2
ST ELIZABETH MEDICAL CENTER NORTH,KY,"401 EAST 20TH STREET, COVINGTON, KY 41014",12.2
ST FRANCIS MEDICAL CENTER,LA,"309 JACKSON STREET, MONROE, LA 71201",13.6
BETH ISRAEL DEACONESS MEDICAL CENTER,MA,"330 BROOKLINE AVENUE, BOSTON, MA 2215",12.1
"JOHNS HOPKINS HOSPITAL, THE",MD,"600 NORTH  WOLFE STREET, BALTIMORE, MD 21287",12.4
YORK HOSPITAL,ME,"15 HOSPITAL DR, YORK, ME 3909",12.6
MUNSON MEDICAL CENTER,MI,"1105 SIXTH STREET, TRAVERSE CITY, MI 49684",11.8
ST MARYS HOSPITAL,MN,"701 LEWISTON ST, COTTONWOOD, ID 83522",Not Available
BOONE HOSPITAL CENTER,MO,"1600 E BROADWAY, COLUMBIA, MO 65201",12
WESLEY MEDICAL CENTER,MS,"550 N HILLSIDE ST, WICHITA, KS 67214",14.1
BENEFIS HOSPITALS INC,MT,"1101 26TH ST S, GREAT FALLS, MT 59405",13.6
CAROLINAS MEDICAL CENTER-NORTHEAST,NC,"920 CHURCH ST N, CONCORD, NC 28025",13.2
SANFORD MEDICAL CENTER FARGO,ND,"801 BROADWAY NORTH, FARGO, ND 58122",13.1
FAITH REGIONAL HEALTH SERVICES,NE,"2700 WEST NORFOLK AVE, NORFOLK, NE 68701",14
CATHOLIC MEDICAL CENTER,NH,"100 MCGREGOR STREET, MANCHESTER, NH 3102",12.3
EAST ORANGE GENERAL HOSPITAL,NJ,"300 CENTRAL AVE, EAST ORANGE, NJ 7018",11.8
ST VINCENT HOSPITAL,NM,"123 SUMMER STREET, WORCESTER, MA 1608",12.8
SUNRISE HOSPITAL AND MEDICAL CENTER,NV,"3186 S MARYLAND PKWY, LAS VEGAS, NV 89109",13.4
NYU HOSPITALS CENTER,NY,"550 FIRST AVENUE, NEW YORK, NY 10016",10.1
"JEWISH HOSPITAL, LLC",OH,"4777 EAST GALBRAITH ROAD, CINCINNATI, OH 45236",12
OKLAHOMA HEART HOSPITAL SOUTH,OK,"5200 EAST I-240 SERVICE ROAD, OKLAHOMA CITY, OK 73135",12.5
PORTLAND VA MEDICAL CENTER,OR,"3710 SW US VETERANS HOSPITAL, PORTLAND                      , OR 97239",12.5
DOYLESTOWN HOSPITAL,PA,"595 WEST STATE ST, DOYLESTOWN, PA 18901",10.4
HOSPITAL DR CAYETANO COLL Y TOSTE,PR,"CARRETERA 129 KM.1 AVENIDA SAN LUIS, ARECIBO, PR 613",14
MIRIAM HOSPITAL,RI,"164 SUMMIT AVENUE, PROVIDENCE, RI 2906",11.9
MUSC MEDICAL CENTER,SC,"169 ASHLEY AVE, CHARLESTON, SC 29425",12.9
AVERA HEART HOSPITAL OF SOUTH DAKOTA LLC,SD,"4500 W 69TH ST, SIOUX FALLS, SD 57108",10.5
METHODIST MEDICAL CENTER OF OAK RIDGE,TN,"990 OAK RIDGE TURNPIKE BOX 529, OAK RIDGE, TN 37830",12.8
CYPRESS FAIRBANKS MEDICAL CENTER,TX,"10655 STEEPLETOP DRIVE, HOUSTON, TX 77065",12
DIXIE REGIONAL MEDICAL CENTER,UT,"1380 EAST MEDICAL CENTER DRIVE, ST GEORGE, UT 84790",13.2
CHESAPEAKE REGIONAL MEDICAL CENTER,VA,"736 BATTLEFIELD BLVD NORTH, CHESAPEAKE, VA 23320",12.5
"ROY LESTER SCHNEIDER HOSPITAL,THE",VI,"9048 SUGAR ESTATE, ST THOMAS, VI 801",14.8
