hospital,state,address,rating
SOUTH PENINSULA HOSPITAL,AK,"4300 BARTLETT ST, HOMER, AK 99603",10.8
GEORGE H. LANIER MEMORIAL HOSPITAL,AL,"4800 48TH ST, VALLEY, AL 36854",8.8
VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,AR,"4300 WEST SEVENTH STREET, LITTLE ROCK                   , AR 72205",9
BANNER GOOD SAMARITAN MEDICAL CENTER,AZ,"1111 EAST MCDOWELL ROAD, PHOENIX, AZ 85006",8.7
CENTINELA HOSPITAL MEDICAL CENTER,CA,"555 EAST HARDY STREET, INGLEWOOD, CA 90301",7.1
PARKER ADVENTIST HOSPITAL,CO,"9395 CROWN CREST BLVD, PARKER, CO 80138",9.3
YALE-NEW HAVEN HOSPITAL,CT,"20 YORK ST, NEW HAVEN, CT 6504",8
PROVIDENCE HOSPITAL,DC,"6801 AIRPORT BOULEVARD, MOBILE, AL 36608",13.5
BAYHEALTH - KENT GENERAL HOSPITAL,DE,"640 S STATE STREET, DOVER, DE 19901",9.5
FLORIDA HOSPITAL HEARTLAND MEDICAL CENTER,FL,"4200 SUN N' LAKE BLVD, SEBRING, FL 33871",8.6
DOCTORS HOSPITAL,GA,"3651 WHEELER ROAD, AUGUSTA, GA 30909",12.5
GUAM MEMORIAL HOSPITAL AUTHORITY,GU,"85O GOV CARLOS G CAMACHO ROAD, TAMUNING, GU 96913",13.2
KUAKINI MEDICAL CENTER,HI,"347 NORTH KUAKINI STREET, HONOLULU, HI 96817",10
MERCY MEDICAL CENTER - CEDAR RAPIDS,IA,"701 10TH STREET SE, CEDAR RAPIDS, IA 52403",9.1
SAINT ALPHONSUS MEDICAL CENTER - NAMPA,ID,"1512 TWELFTH AVENUE ROAD, NAMPA, ID 83686",9.4
RUSH UNIVERSITY MEDICAL CENTER,IL,"1653 WEST CONGRESS PARKWAY, CHICAGO, IL 60612",6.8
ST CATHERINE HOSPITAL INC,IN,"4321 FIR ST, EAST CHICAGO, IN 46312",7.6
HAYS MEDICAL CENTER,KS,"2220 CANTERBURY DRIVE, HAYS, KS 67601",8.7
WESTLAKE REGIONAL HOSPITAL,KY,"901 WESTLAKE DRIVE, PO BOX 1269, COLUMBIA, KY 42728",9
WILLIS KNIGHTON MEDICAL CENTER,LA,"2600 GREENWOOD ROAD, SHREVEPORT, LA 71103",8.4
ST ELIZABETH'S MEDICAL CENTER,MA,"736 CAMBRIDGE STREET, BRIGHTON, MA 2135",7.9
MEDSTAR GOOD SAMARITAN HOSPITAL,MD,"5601 LOCH RAVEN BLVD, BALTIMORE, MD 21239",7.4
MILES MEMORIAL HOSPITAL (LINCOLN COUNTY HEALTHCARE,ME,"35 MILES STREET, DAMARISCOTTA, ME 4543",9.5
HARPER UNIVERSITY HOSPITAL,MI,"3990 JOHN R STREET, DETROIT, MI 48201",7.2
ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER,MN,"523 NORTH 3RD STREET, BRAINERD, MN 56401",8.9
NORTH KANSAS CITY HOSPITAL,MO,"2800 CLAY EDWARDS DRIVE, NORTH KANSAS CITY, MO 64116",8.9
SOUTH CENTRAL REG MED CTR,MS,"1220 JEFFERSON ST BOX 607, LAUREL, MS 39440",9.2
COMMUNITY MEDICAL CENTER INC,MT,"2827 FORT MISSOULA RD, MISSOULA, MT 59804",10.4
FIRSTHEALTH MOORE REGIONAL HOSPITAL,NC,"155 MEMORIAL DRIVE, PINEHURST, NC 28374",8.2
ST ALOISIUS MEDICAL CENTER,ND,"325 E BREWSTER ST, HARVEY, ND 58341",9.4
NEBRASKA HEART HOSPITAL,NE,"7500 SOUTH 91ST ST, LINCOLN, NE 68526",9.5
VALLEY REGIONAL HOSPITAL,NH,"243 ELM STREET, CLAREMONT, NH 3743",10.6
EAST ORANGE GENERAL HOSPITAL,NJ,"300 CENTRAL AVE, EAST ORANGE, NJ 7018",6.7
LOVELACE REGIONAL HOSPITAL - ROSWELL,NM,"117 EAST 19TH STREET, ROSWELL, NM 88201",9.1
MOUNTAINVIEW HOSPITAL,NV,"3100 N TENAYA WAY, LAS VEGAS, NV 89128",9.6
KINGSBROOK JEWISH MEDICAL CENTER,NY,"585 SCHENECTADY AVENUE, BROOKLYN, NY 11203",7
FAIRVIEW HOSPITAL,OH,"29 LEWIS AVENUE, GREAT BARRINGTON, MA 1230",11
"DUNCAN REGIONAL HOSPITAL, INC",OK,"1407 WHISENANT DRIVE, DUNCAN, OK 73533",9.3
PORTLAND VA MEDICAL CENTER,OR,"3710 SW US VETERANS HOSPITAL, PORTLAND                      , OR 97239",8.4
PHILADELPHIA VA MEDICAL CENTER,PA,"UNIVERSITY AND WOODLAND AVENU, PHILADELPHIA                  , PA 19104",7.4
SAN LUKE'S MEMORIAL HOSPITAL INC,PR,"TITO CASTRO AVE #917, PONCE, PR 733",9.7
WESTERLY HOSPITAL,RI,"25 WELLS STREET, WESTERLY, RI 2891",10.1
PALMETTO HEALTH BAPTIST,SC,"TAYLOR AT MARION, COLUMBIA, SC 29220",9.5
AVERA HEART HOSPITAL OF SOUTH DAKOTA LLC,SD,"4500 W 69TH ST, SIOUX FALLS, SD 57108",9.9
WELLMONT HAWKINS COUNTY MEMORIAL HOSPITAL,TN,"851 LOCUST STREET, ROGERSVILLE, TN 37857",9.4
FORT DUNCAN MEDICAL CENTER,TX,"3333 N FOSTER MALDONADO BLVD, EAGLE PASS, TX 78852",8.1
VA SALT LAKE CITY HEALTHCARE - GEORGE E. WAHLEN VA MEDICAL CENTER,UT,"500 FOOTHILL BLVD., SALT LAKE CITY                , UT 84148",10.7
SENTARA POTOMAC HOSPITAL,VA,"2300 OPITZ BOULEVARD, WOODBRIDGE, VA 22191",8.4
GOV JUAN F LUIS HOSPITAL & MEDICAL CTR,VI,"#4007 EST DIAMOND RUBY, CHRISTIANSTED, ST CROIX, VI 820",13.9
SPRINGFIELD HOSPITAL,VT,"PO BOX 2003, SPRINGFIELD, VT 5156",10.9
HARBORVIEW MEDICAL CENTER,WA,"325 9TH AVENUE, SEATTLE, WA 98104",8.9
AURORA ST LUKES MEDICAL CENTER,WI,"2900 W OKLAHOMA AVE, MILWAUKEE, WI 53215",9.3
FAIRMONT GENERAL HOSPITAL,WV,"1325 LOCUST AVENUE, FAIRMONT, WV 26554",9.5
CHEYENNE VA MEDICAL CENTER,WY,"2360 E. PERSHING BLVD., CHEYENNE                      , WY 82001",10.3
